t,x,y,z
0,0.751260177594398,0.261998583885211,1
7,0.783838602509916,0.307929363387252,0.986439560263982
14,0.834267524241115,0.378136284946228,0.962678774178969
21,0.885421845379919,0.460438370829191,0.933308040904425
28,0.929111432994231,0.547229806170952,0.902194608464757
35,0.97038766526233,0.641331166634815,0.865216918567059
42,1,0.742962300164753,0.822472618053396
49,0.999369845728623,0.84190882973371,0.778000245396707
56,0.968071973932108,0.921745289360669,0.729040350537045
63,0.92665380328875,0.97306103497823,0.681040687961388
70,0.895552487498412,1,0.648298113437802
